ITEM_1,ITEM_2,ITEM_1_URGENCY,ITEM_2_URGENCY,ITEM_1_PROCESSES,ITEM_2_PROCESSES,ITEM_1_MACHINES,ITEM_2_MACHINES,PROCESS_CONFLICTS,MACHINE_CONFLICTS,CAN_RUN_PARALLEL,SEQUENTIAL_TIME_DAYS,PARALLEL_TIME_DAYS,TIME_SAVED_DAYS,EFFICIENCY_GAIN_PCT
ABB373,HYO026,CRITICAL,CRITICAL,"100, 110, 80, 30, 50, 70, 60, 40, 140, 20, Ready for Machining (HM01), 90, 130","100, 4, 154, 17, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70","GENERAL, HM01","OUT-DYNO, GENERAL","30, 50, 60, 20, 100, 70",,False,492.0,264.0,228.0,46.34
TOS013,ABB373,CRITICAL,CRITICAL,"4, 154, 80, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70","100, 110, 80, 30, 50, 70, 60, 40, 140, 20, Ready for Machining (HM01), 90, 130","OUT-DYNO, GENERAL","GENERAL, HM01","80, 30, 50, 60, 20, 70",,False,579.0,315.0,264.0,45.6
ABB429,ABB456,CRITICAL,CRITICAL,"110, 80, 154, 120, 70, Ready for Machining (HM02), 2, 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 130","Ready for Machining (HM07), 110, 80, 154, 2, 50, 9.58438, 193, 60, 40, 49.66, 4, 17, 70","HM02, GENERAL","GENERAL, HM07","154, 110, 80, 2, 9.58438, 193, 60, 40, 49.66, 4, 17, 70",,False,64.4,35.1,29.3,45.5
ABB448,ABB456,CRITICAL,CRITICAL,"110, 80, Ready for Machining (HM10), 154, 50, 9.58438, 193, 60, 49.66, 4, 17","Ready for Machining (HM07), 110, 80, 154, 2, 50, 9.58438, 193, 60, 40, 49.66, 4, 17, 70","HM10, GENERAL","GENERAL, HM07","154, 110, 80, 50, 9.58438, 193, 60, 49.66, 4, 17",,False,52.7,29.3,23.4,44.4
ABB402,ABB439,CRITICAL,CRITICAL,"Ready for Machining (OUT-DYNO), 9.58438, 193, 49.66, 2, 70","100, 154, Ready for Machining (HM02), 9.58438, 193, 49.66, 17, 70","OUT-DYNO, GENERAL","HM02, GENERAL","49.66, 9.58438, 193, 70",,False,31.3,17.6,13.7,43.77
ABB436,ABB373,CRITICAL,CRITICAL,"110, 80, 154, 17, 9.58438, 193, 49.66, 2, Ready for Machining (HM01), 100","100, 110, 80, 30, 50, 70, 60, 40, 140, 20, Ready for Machining (HM01), 90, 130","GENERAL, HM01","GENERAL, HM01","110, 80, Ready for Machining (HM01), 100","GENERAL, HM01",False,609.0,345.0,264.0,43.35
ABB439,ABB448,CRITICAL,CRITICAL,"100, 154, Ready for Machining (HM02), 9.58438, 193, 49.66, 17, 70","110, 80, Ready for Machining (HM10), 154, 50, 9.58438, 193, 60, 49.66, 4, 17","HM02, GENERAL","HM10, GENERAL","154, 9.58438, 193, 49.66, 17",,False,41.0,23.4,17.6,42.93
ARE255,SIE469,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM02), 50, 9.58438, 193, 60, 49.66, 10, 4, 17, 70","110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)","HM02, GENERAL","OUT-EAGLE, GENERAL","154, 110, 80, 2, 9.58438, 193, 60, 49.66, 4, 17, 70",,False,396.0,228.0,168.0,42.42
ARE330,SIE469,CRITICAL,CRITICAL,"110, 80, 154, 2, Ready for Machining (HM05), 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 70","110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)","HM05, GENERAL","OUT-EAGLE, GENERAL","154, 110, 80, 2, 9.58438, 193, 60, 40, 49.66, 4, 17, 70",,False,396.0,228.0,168.0,42.42
HYO025,SIE469,CRITICAL,CRITICAL,"4, 110, 80, 154, Ready for Machining (OUT-DYNO), 17, 2, 50, 9.58438, 193, 60, 40, 49.66, 20, 1, 100, 70","110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)","OUT-DYNO, GENERAL","OUT-EAGLE, GENERAL","154, 110, 80, 2, 9.58438, 193, 60, 40, 49.66, 4, 17, 70",,False,396.0,228.0,168.0,42.42
HYO026,SIE469,CRITICAL,CRITICAL,"100, 4, 154, 17, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70","110, 80, 154, 17, 70, 2, 9.58438, 193, 60, 40, 49.66, 4, 90, Ready for Machining (OUT-EAGLE)","OUT-DYNO, GENERAL","OUT-EAGLE, GENERAL","154, 2, 9.58438, 193, 60, 49.66, 4, 17, 70",,False,396.0,228.0,168.0,42.42
TOS013,ARE255,CRITICAL,CRITICAL,"4, 154, 80, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70","110, 80, 154, 2, Ready for Machining (HM02), 50, 9.58438, 193, 60, 49.66, 10, 4, 17, 70","OUT-DYNO, GENERAL","HM02, GENERAL","154, 80, 2, 50, 9.58438, 193, 60, 49.66, 4, 70",,False,543.0,315.0,228.0,41.99
TOS013,ARE330,CRITICAL,CRITICAL,"4, 154, 80, Ready for Machining (OUT-DYNO), 30, 50, 2, 9.58438, 193, 60, 49.66, 1, 20, 70","110, 80, 154, 2, Ready for Machining (HM05), 9.58438, 193, 60, 40, 140, 49.66, 1, 4, 17, 70","OUT-DYNO, GENERAL","HM05, GENERAL","4, 154, 80, 9.58438, 193, 60, 49.66, 1, 2, 70",,False,543.0,315.0,228.0,41.99
