ITEM_CODE,STAGE,PROCESS,QTY,TONNAGE,DATE,AGING
TOS011,WIP_DM,110,1.0,0.1146,2025-07-24 02:16:02.776987,53.53580968749884
ARE255,WIP_DM,110,1.0,0.1115,2025-07-24 02:16:02.776987,5.065073113422841
SIE462,WIP_DM,100,1.0,0.2726,2025-07-24 02:16:02.776987,3.792072997683135
HYO029,WIP_DM,100,1.0,0.1168,2025-07-24 02:16:02.776987,18.92870785879495
HYO029,WIP_DM,100,1.0,0.1168,2025-07-24 02:16:02.776987,18.45817402777902
ABB373,WIP_DM,110,1.0,0.04966,2025-07-24 02:16:02.776987,15.24736064815079
CGP008,WIP_DM,110,1.0,0.058,2025-07-24 02:16:02.776987,45.79721614583104
ABB373,WIP_DM,110,1.0,0.04966,2025-07-24 02:16:02.776987,22.65772091435065
SIE462,WIP_DM,110,1.0,0.2726,2025-07-24 02:16:02.776987,5.337550196760276
SIE462,WIP_DM,100,1.0,0.2726,2025-07-24 02:16:02.776987,4.293984224539599
SIE429,WIP_DM,110,1.0,0.069,2025-07-24 02:16:02.776987,3.959257476853963
ABB373,WIP_DM,100,1.0,0.04966,2025-07-24 02:16:02.776987,43.76894196759531
MEI003,WIP_DM,110,1.0,0.172,2025-07-24 02:16:02.776987,6.391920486108575
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,18.74996253472636
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,22.0313680787076
ARE454,WIP_DM,110,1.0,0.063,2025-07-24 02:16:02.776987,17.38109293981688
HYO013,WIP_DM,110,1.0,0.14014,2025-07-24 02:16:02.776987,3.247332766200998
ARE255,WIP_DM,110,1.0,0.1115,2025-07-24 02:16:02.776987,5.807262314818217
ARE255,WIP_DM,110,1.0,0.1115,2025-07-24 02:16:02.776987,10.53177689814765
HYO013,WIP_DM,110,1.0,0.14014,2025-07-24 02:16:02.776987,3.249721053238318
ARE255,WIP_DM,110,1.0,0.1115,2025-07-24 02:16:02.776987,5.590642222217866
ARE255,WIP_DM,110,1.0,0.1115,2025-07-24 02:16:02.776987,5.952769675925083
ABB373,WIP_DM,110,1.0,0.04966,2025-07-24 02:16:02.776987,22.79692613425868
SIE462,WIP_DM,100,1.0,0.2726,2025-07-24 02:16:02.776987,3.915356168981816
MEI001,WIP_DM,100,1.0,0.1482,2025-07-24 02:16:02.776987,40.32187666666869
MEI001,WIP_DM,100,1.0,0.1482,2025-07-24 02:16:02.776987,41.54363243055559
MEI001,WIP_DM,110,1.0,0.1482,2025-07-24 02:16:02.776987,39.48667253472377
MEI001,WIP_DM,100,1.0,0.1482,2025-07-24 02:16:02.776987,40.39710608796304
ARE320,WIP_DM,110,1.0,0.141,2025-07-24 02:16:02.776987,5.287844097219931
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,21.88373355324438
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,51.85155774305167
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,22.68997962962749
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,22.91363266203552
ABB429,WIP_DM,110,1.0,0.0853,2025-07-24 02:16:02.776987,21.65311011574522
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,24.58648789351719
ARE266,WIP_DM,110,1.0,0.0168,2025-07-24 02:16:02.776987,39.80879405092855
